Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['Alexandria gazette'],09-20-1873,3,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663717/1873092001/0281.pdf
['The central Presbyterian'],02-18-1874,1,['sn89053987'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_invicta_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_invicta_ver01/data/sn89053987/print/1874021801/0200.pdf
['The Daily state journal'],08-07-1873,2,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_forego_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_forego_ver01/data/sn84024670/00280762428/1873080701/0151.pdf
['The Daily state journal'],11-26-1873,1,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_forego_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_forego_ver01/data/sn84024670/00280762428/1873112601/0534.pdf
['The Daily state journal'],12-02-1873,1,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_forego_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_forego_ver01/data/sn84024670/00280762428/1873120201/0550.pdf
['Alexandria gazette'],02-05-1873,3,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663705/1873020501/0128.pdf
['The Daily state journal'],03-01-1872,1,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_forego_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_forego_ver01/data/sn84024670/00280762374/1872030101/0218.pdf
['The Daily state journal'],02-23-1874,1,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_devilsbag_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_devilsbag_ver01/data/sn84024670/00280762222/1874022301/0196.pdf
['Shenandoah herald'],05-30-1872,1,['sn85026941'],['woodstock'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_jennet_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_jennet_ver02/data/sn85026941/00393348458/1872053001/0088.pdf
['Alexandria gazette'],04-01-1873,3,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663705/1873040101/0312.pdf
['Alexandria gazette'],11-30-1872,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663699/1872113001/0541.pdf
['Alexandria gazette'],12-16-1872,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663699/1872121601/0591.pdf
['Alexandria gazette'],08-18-1873,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663717/1873081801/0164.pdf
['Alexandria gazette'],10-25-1872,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663699/1872102501/0421.pdf
