Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['Vermont phœnix.'],03-25-1870,2,['sn98060050'],"['brattleboro', 'bellows falls', 'ludlow']",['vermont'],['University of Vermont'],['vtu_danby_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_danby_ver01/data/sn98060050/00280777365/1870032501/0682.pdf
['Essex County herald.'],12-13-1873,4,['sn84023416'],"['island pond', 'guildhall']",['vermont'],['University of Vermont'],['vtu_ira_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_ira_ver01/data/sn84023416/00202197498/1873121301/0198.pdf
['The Rutland daily globe.'],01-28-1874,4,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777547/1874012801/0097.pdf
['Green-Mountain freeman.'],01-15-1874,2,['sn84023209'],['montpelier'],['vermont'],['University of Vermont'],['vtu_hildene_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_hildene_ver01/data/sn84023209/00202197607/1874011501/0221.pdf
['Vermont phœnix.'],12-05-1873,2,['sn98060050'],"['brattleboro', 'bellows falls', 'ludlow']",['vermont'],['University of Vermont'],['vtu_danby_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_danby_ver01/data/sn98060050/00280777377/1873120501/0389.pdf
['Green-Mountain freeman.'],12-03-1873,2,['sn84023209'],['montpelier'],['vermont'],['University of Vermont'],['vtu_hildene_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_hildene_ver01/data/sn84023209/00202197607/1873120301/0195.pdf
['Burlington weekly free press.'],07-08-1870,2,['sn86072143'],['burlington'],['vermont'],['University of Vermont'],['vtu_burlington_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_burlington_ver01/data/sn86072143/0028077702A/1870070801/0542.pdf
['Burlington weekly free press.'],02-11-1870,1,['sn86072143'],['burlington'],['vermont'],['University of Vermont'],['vtu_burlington_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_burlington_ver01/data/sn86072143/0028077702A/1870021101/0452.pdf
['Burlington weekly free press.'],09-23-1870,2,['sn86072143'],['burlington'],['vermont'],['University of Vermont'],['vtu_burlington_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_burlington_ver01/data/sn86072143/0028077702A/1870092301/0586.pdf
['Burlington weekly free press.'],11-04-1870,2,['sn86072143'],['burlington'],['vermont'],['University of Vermont'],['vtu_burlington_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_burlington_ver01/data/sn86072143/0028077702A/1870110401/0610.pdf
['Vermont farmer.'],05-02-1873,3,['sn84023255'],"['newport', 'saint johnsbury']",['vermont'],['University of Vermont'],['vtu_adamant_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_adamant_ver01/data/sn84023255/00280776968/1873050201/0137.pdf
['Burlington weekly free press.'],12-05-1873,2,['sn86072143'],['burlington'],['vermont'],['University of Vermont'],['vtu_burlington_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_burlington_ver01/data/sn86072143/00280777031/1873120501/0620.pdf
